Title,Rating,Information
Stand By Me Doraemon 2,8.28,"        Movie (1 eps)        Nov 2020 - Nov 2020        6,217 members      "
Ashita no Joe,8.28,"        TV (79 eps)        Apr 1970 - Sep 1971        62,412 members      "
Gintama: Shinyaku Benizakura-hen,8.28,"        Special (1 eps)        Dec 2010 - Dec 2010        33,724 members      "
Gyakkyou Burai Kaiji: Ultimate Survivor,8.28,"        TV (26 eps)        Oct 2007 - Apr 2008        262,919 members      "
Hajime no Ippo: Champion Road,8.28,"        Special (1 eps)        Apr 2003 - Apr 2003        102,360 members      "
Hunter x Hunter: Greed Island Final,8.28,"        OVA (14 eps)        Mar 2004 - Aug 2004        116,889 members      "
Initial D First Stage,8.28,"        TV (26 eps)        Apr 1998 - Dec 1998        251,277 members      "
Sennen Joyuu,8.27,"        Movie (1 eps)        Sep 2002 - Sep 2002        135,176 members      "
Yuru Camp△,8.27,"        TV (12 eps)        Jan 2018 - Mar 2018        347,468 members      "
Nodame Cantabile: Finale,8.26,"        TV (11 eps)        Jan 2010 - Mar 2010        113,948 members      "
Ookami to Koushinryou,8.26,"        TV (13 eps)        Jan 2008 - Mar 2008        672,098 members      "
Space☆Dandy 2nd Season,8.26,"        TV (13 eps)        Jul 2014 - Sep 2014        136,648 members      "
Youjo Senki Movie,8.26,"        Movie (1 eps)        Feb 2019 - Feb 2019        177,347 members      "
Boku no Hero Academia 2nd Season,8.26,"        TV (25 eps)        Apr 2017 - Sep 2017        1,827,398 members      "
Danshi Koukousei no Nichijou,8.26,"        TV (12 eps)        Jan 2012 - Mar 2012        636,332 members      "
Douluo Dalu: Xingdou Xian Ji Pian,8.26,"        ONA (13 eps)        Aug 2020 - Nov 2020        1,920 members      "
Kuroko no Basket 2nd Season,8.26,"        TV (25 eps)        Oct 2013 - Mar 2014        636,776 members      "
